_id,DatGeracaoConjuntoDados,NomEmpreendimento,IdeNucleoCEG,CodCEG,SigUFPrincipal,SigTipoGeracao,DscFaseUsina,DscOrigemCombustivel,DscFonteCombustivel,DscTipoOutorga,NomFonteCombustivel,DatEntradaOperacao,MdaPotenciaOutorgadaKw,MdaPotenciaFiscalizadaKw,MdaGarantiaFisicaKw,IdcGeracaoQualificada,NumCoordNEmpreendimento,NumCoordEEmpreendimento,DatInicioVigencia,DatFimVigencia,DscPropriRegimePariticipacao,DscSubBacia,DscMuninicpios
11,2026-08-07,Dona Assunta,000040,CGH.PH.MT.000040-0.2,MT,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,1994-06-01,"1900,00",1900,",00",Não,"-14,86277778","-53,29166667",,,100% para ELOI BRUNETTA &amp- CIA. LTDA. - 06.074.064/0001-13 (REG),"26 - Araguaia, trecho da ilha Bananal","Novo São Joaquim - MT, Santo Antônio do Leste - MT"
12,2026-08-07,Água Vermelha (Antiga José Ermírio de Moraes),000041,UHE.PH.MG.000041-8.1,MG,UHE,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,1978-08-22,"1396200,00",1396200,"694500,00",Não,"-19,86315702","-50,34647804",1999-12-20,2032-08-11,100% para AUREN OPERACOES S.A. - 00.194.724/0001-13 (PIE),61 - Grande,"Iturama - MG, Indiaporã - SP, Ouroeste - SP"
13,2026-08-07,Aimorés,000042,UHE.PH.MG.000042-6.1,MG,UHE,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,2005-07-30,"330000,00",330000,"172900,00",Não,"-19,45714111","-41,09797972",2000-12-20,2039-11-17,100% para ALIANCA GERACAO DE ENERGIA S.A. - 12.009.135/0001-05 (PIE),56 - Doce,"Baixo Guandu - ES, Aimorés - MG"
14,2026-08-07,Alecrim,000047,UHE.PH.SP.000047-7.1,SP,UHE,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,1974-01-01,"72000,00",72000,",00",Não,"-24,08132336","-47,47732805",1996-06-28,2016-06-28,100% para COMPANHIA BRASILEIRA DE ALUMINIO - 61.409.892/0001-73 (APE),81 - Ribeira do Iguape,Miracatu - SP
15,2026-08-07,Alegre,000048,PCH.PH.ES.000048-5.1,ES,PCH,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,1920-05-20,"2056,00",2056,"1160,00",Não,"-20,76355051","-41,52857403",1995-07-17,2027-05-24,100% para SANTA MARIA CGH 1 LTDA - 57.221.551/0001-00 (PIE),57 - Litoraneas do Espirito Santo,Alegre - ES
16,2026-08-07,Alta Floresta,000058,CGH.PH.RO.000058-2.2,RO,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,1993-03-22,"5000,00",5000,",00",Não,"-11,93194444","-62,04250000",,,100% para ELETRON ELETRICIDADE DE RONDONIA S/A - 34.782.938/0001-22 (REG),15 - Madeira,Alta Floresta d´Oeste - RO
17,2026-08-07,Alta Mogiana,000060,UTE.AI.SP.000060-4.1,SP,UTE,Operação,Biomassa,Agroindustriais,Autorização,Bagaço de Cana de Açúcar,1994-04-19,"71000,00",71000,"20000,00",Não,"-20,48184967","-47,86622455",2003-05-09,2033-05-09,100% para USINA ALTA MOGIANA S/A-ACUCAR E ALCOOL - 53.009.825/0001-33 (PIE),,São Joaquim da Barra - SP
18,2026-08-07,Alto Araguaia,000066,PCH.PH.MT.000066-3.1,MT,PCH,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,1968-06-01,"800,00",800,"720,00",Não,"-17,29828698","-53,21880855",1997-12-11,2027-12-11,100% para PRIMAVERA ENERGIA S.A. - 07.283.830/0001-12 (SP),24 - Alto Araguaia e rio Claro,"Alto Araguaia - MT, Santa Rita do Araguaia - GO"
19,2026-08-07,Alto Benedito Novo,000068,CGH.PH.SC.000068-0.2,SC,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,1991-01-04,"2740,00",2740,"1730,00",Não,"-26,78082975","-49,39666915",,,100% para COOPERATIVA GERADORA DE ENERGIA ELETRICA E DESENVOLVIMENTO SANTA MARIA - 85.937.316/0001-67 (REG),83 - Itajai,Benedito Novo - SC
20,2026-08-07,Cachoeira da Onça,000074,CGH.PH.MT.000074-4.1,MT,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,1982-09-01,"360,00",360,",00",Não,"-16,72138408","-53,58803006",,,100% para Ivo Luiz Ruaro -  (REG),24 - Alto Araguaia e rio Claro,Alto Garças - MT
21,2026-08-07,Alto Guarajus,000075,UTE.PE.RO.000075-2.1,RO,UTE,Operação,Fóssil,Petróleo,Registro,Óleo Diesel,1900-01-03,"232,00",232,",00",Não,"-12,99999830","-60,94480395",,,100% para ENERGISA RONDONIA - DISTRIBUIDORA DE ENERGIA S.A - 05.914.650/0001-66 (REG),,Corumbiara - RO
22,2026-08-07,Alto Jatapu,000076,UHE.PH.RR.000076-0.1,RR,UHE,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,1992-08-01,"10000,00",10000,",00",Não,",85847950","-59,29464870",2018-12-11,2048-12-10,100% para RORAIMA ENERGIA S.A - 02.341.470/0001-44 (SP),"16 - Amazonas, entre os rios Madeira e Trombetas",São João da Baliza - RR
23,2026-08-07,Antônio Brennand (Antiga  Alto Jauru),000077,PCH.PH.MT.000077-9.1,MT,PCH,Operação,Hídrica,Potencial hidráulico,Autorização,Potencial hidráulico,2002-09-13,"21960,00",21960,"19580,00",Não,"-15,04388513","-58,74900747",2002-09-13,2032-11-29,100% para ALTO JAURU ENERGETICA S/A - 01.395.648/0001-77 (PIE),66 - Alto Paraguai,Araputanga - MT
24,2026-08-07,Alto Paraguai (Pedro Pedrossian),000078,PCH.PH.MT.000078-7.1,MT,PCH,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,1970-01-01,"1680,00",1680,"1510,00",Não,"-14,47829947","-56,39193309",1997-12-11,2027-12-11,100% para PRIMAVERA ENERGIA S.A. - 07.283.830/0001-12 (PIE),66 - Alto Paraguai,Alto Paraguai - MT
25,2026-08-07,Americana,000089,PCH.PH.SP.000089-2.1,SP,PCH,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,1949-01-01,"30000,00",30000,"8100,00",Não,"-22,69900289","-47,28417247",1997-11-20,2029-03-27,100% para JAYADITYA EMPREENDIMENTOS E PARTICIPACOES LTDA. - 13.271.413/0001-52 (PIE),"62 - Parana, Tiete e outros",Americana - SP
26,2026-08-07,Anamã,000092,UTE.GN.AM.000092-2.2,AM,UTE,Operação,Fóssil,Gás natural,Registro,Gás Natural,2013-11-29,"2165,00",2165,",00",Não,"-3,57916666","-61,40555555",,,100% para J&amp-F S.A. - 00.350.763/0001-62 (REG),,Anamã - AM
27,2026-08-07,Almirante Álvaro Alberto - Unidade I (Antiga Angra I),000100,UTN.UR.RJ.000100-7.1,RJ,UTN,Operação,Nuclear,Urânio,Autorização,Urânio,1985-01-01,"640000,00",640000,"509800,00",Não,"-23,00871111","-44,45744444",1970-07-17,,100% para ELETRONUCLEAR S.A. - 42.540.211/0001-67 (SP),,Angra dos Reis - RJ
28,2026-08-07,Almirante Álvaro Alberto - Unidade II (Antiga Angra II),000101,UTN.UR.RJ.000101-5.1,RJ,UTN,Operação,Nuclear,Urânio,Autorização,Urânio,2001-02-01,"1350000,00",1350000,"1204700,00",Não,"-23,00720833","-44,45876111",1970-07-17,,100% para ELETRONUCLEAR S.A. - 42.540.211/0001-67 (SP),,Angra dos Reis - RJ
29,2026-08-07,Anil,000103,CGH.PH.MG.000103-1.2,MG,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,1964-03-01,"2056,00",2056,"1100,00",Não,"-20,81871261","-45,06023334",,,"50% para AMBAR HIDROENERGIA LTDA - 19.390.334/0001-47 (REG), 50% para CONSORCIO JBS HIDROENERGIA - 56.108.743/0001-34 (REG)",61 - Grande,Santana do Jacaré - MG
30,2026-08-07,Anna Maria,000104,PCH.PH.MG.000104-0.1,MG,PCH,Operação,Hídrica,Potencial hidráulico,Autorização,Potencial hidráulico,1937-08-01,"1680,00",1680,"1180,00",Não,"-21,48153969","-43,46216245",2000-01-14,2031-07-05,100% para AGUA CLARA ENERGETICA S.A. - 09.612.278/0001-94 (PIE),58 - Paraiba do Sul,Santos Dumont - MG
31,2026-08-07,Anori / Am,000105,UTE.GN.AM.000105-8.2,AM,UTE,Operação,Fóssil,Gás natural,Registro,Gás Natural,2013-12-20,"4570,00",4570,",00",Não,"-3,71027778","-61,66305555",,,100% para J&amp-F S.A. - 00.350.763/0001-62 (REG),,Anori - AM
32,2026-08-07,Pedro Affonso Junqueira (Antiga Antas I),000109,UHE.PH.MG.000109-0.1,MG,UHE,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,1911-01-01,"8780,00",8780,",00",Não,"-21,76776268","-46,60781653",2012-12-04,2042-12-31,100% para Dme Energética S.A. - DMEE - 03.966.583/0001-06 (SP),61 - Grande,Poços de Caldas - MG
33,2026-08-07,Walter Rossi (Antiga Antas II),000110,UHE.PH.MG.000110-4.1,MG,UHE,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,1998-07-01,"16500,00",16500,",00",Não,"-21,76333333","-46,60500000",2009-03-14,2029-03-14,100% para DME DISTRIBUICAO S.A. - DMED - 23.664.303/0001-04 (SP),61 - Grande,Poços de Caldas - MG
34,2026-08-07,Apiaí,000116,CGH.PH.SP.000116-3.1,SP,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,1951-01-01,"1000,00",1000,"590,00",Não,"-24,48338607","-49,06499596",,,100% para APIAÍ ENERGIA S/A. - 37.286.680/0001-61 (REG),81 - Ribeira do Iguape,Barra do Chapéu - SP
35,2026-08-07,Aprovale - Associação Dos Produtores Do Vale Do Cedro,000120,CGH.PH.MT.000120-1.1,MT,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,2019-12-10,"2600,00",2600,",00",Não,"-12,89109775","-56,13920028",,,100% para ASSOCIAÇÃO DE PRODUTORES RURAIS DO VALE DO CEDRO - 24.977.746/0001-18 (REG),17 - Tapajos,Lucas do Rio Verde - MT
36,2026-08-07,Apucaraninha,000122,PCH.PH.PR.000122-8.1,PR,PCH,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,1949-04-06,"10000,00",10000,"6710,00",Não,"-23,74974679","-50,90792543",2013-07-11,2027-01-28,100% para APUCARANINHA S.A. - 55.560.074/0001-74 (PIE),"64 - Parana, Paranapanema, Amambai e outros",Tamarana - PR
37,2026-08-07,Aracruz,000127,UTE.FL.ES.000127-9.1,ES,UTE,Operação,Biomassa,Floresta,Autorização,Licor Negro,2002-05-01,"238000,00",238000,",00",Não,"-19,84295367","-40,07470155",2002-05-01,2032-05-01,100% para SUZANO S.A. - 16.404.287/0001-55 (APE),,Aracruz - ES
38,2026-08-07,Areal,000140,PCH.PH.RJ.000140-6.1,RJ,PCH,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,1949-01-01,"18000,00",18000,"9000,00",Não,"-22,22625007","-43,07815795",1996-12-09,2028-11-24,100% para QUANTA GERACAO S/A - 07.642.982/0001-64 (PIE),58 - Paraiba do Sul,Areal - RJ
39,2026-08-07,Areal,000141,PCH.PH.MG.000141-4.1,MG,PCH,Operação,Hídrica,Potencial hidráulico,Autorização,Potencial hidráulico,1988-01-01,"5149,17",5149,"3720,00",Não,"-22,15330834","-44,09042778",2005-10-26,2035-10-26,100% para AREAL ENERGIAS RENOVÁVEIS LTDA. - 41.534.646/0001-36 (PIE),58 - Paraiba do Sul,Santa Rita de Jacutinga - MG
40,2026-08-07,Novo Aripuanã,000145,UTE.PE.AM.000145-7.1,AM,UTE,Operação,Fóssil,Petróleo,Autorização,Óleo Diesel,2005-10-01,"7670,00",7670,",00",Não,"-5,12066596","-60,38043633",2016-06-13,,100% para AMBAR ENERGIA AMAZONAS S.A. - 02.341.467/0001-20 (SP),,Novo Aripuanã - AM
41,2026-08-07,ARS,000161,PCH.PH.MT.000161-9.1,MT,PCH,Operação,Hídrica,Potencial hidráulico,Autorização,Potencial hidráulico,2009-08-07,"6660,00",6660,",00",Não,"-13,09805555","-54,81750000",2001-03-09,2031-03-09,100% para TECNOVOLT CENTRAIS ELÉTRICAS S.A. - 04.766.180/0001-78 (PIE),18 - Xingu e Paru,Nova Ubiratã - MT
42,2026-08-07,Asfor,000162,UTE.GN.CE.000162-7.1,CE,UTE,Operação,Fóssil,Gás natural,Registro,Gás Natural,1996-08-15,"3350,00",3350,",00",Não,"-3,71666053","-38,47283271",,,Não Informado,,Fortaleza - CE
43,2026-08-07,Avante,000177,CGH.PH.RS.000177-5.1,RS,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,2001-10-02,"800,00",800,",00",Não,"-28,05537474","-51,92099721",,,100% para MUXFELDT MARIN E CIA LTDA - 97.578.090/0001-34 (REG),"72 - Uruguai, Inhanduva, Peixe e outros",Ibiaçá - RS
44,2026-08-07,Axinim,000181,UTE.PE.AM.000181-3.1,AM,UTE,Operação,Fóssil,Petróleo,Autorização,Óleo Diesel,1998-09-01,"900,00",900,",00",Não,"-4,04549803","-59,37053558",1987-07-21,2017-07-21,100% para AMBAR ENERGIA AMAZONAS S.A. - 02.341.467/0001-20 (SP),,Borba - AM
45,2026-08-07,Bahia Pulp (Antiga Bacell),000182,UTE.FL.BA.000182-1.1,BA,UTE,Operação,Biomassa,Floresta,Autorização,Licor Negro,1995-11-29,"108600,00",108600,"300,00",Não,"-12,64308242","-38,33717137",2026-08-04,2061-08-04,100% para BRACELL BAHIA SPECIALTY CELLULOSE S.A. - 69.037.133/0001-39 (PIE),,Camaçari - BA
46,2026-08-07,Bagagem,000184,CGH.PH.TO.000184-8.1,TO,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,1950-01-01,"480,00",480,"150,00",Não,"-11,37138889","-47,57555556",,,100% para ALVORADA ENERGIA S.A. - 04.946.784/0001-04 (REG),"22 - Tocantins, entre os rios Parana e do Sono",Natividade - TO
47,2026-08-07,Suzano Mucuri (Antiga Bahia Sul),000187,UTE.FL.BA.000187-2.1,BA,UTE,Operação,Biomassa,Floresta,Autorização,Licor Negro,1992-03-01,"214080,00",214080,",00",Não,"-18,04246214","-39,91966083",2011-04-14,2041-04-14,100% para SUZANO S.A. - 16.404.287/0001-55 (APE),,Mucuri - BA
48,2026-08-07,Balbina,000190,UHE.PH.AM.000190-2.1,AM,UHE,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,1989-02-20,"249750,00",249750,"125700,00",Não,"-1,91590047","-59,47337201",1977-03-02,2027-03-01,100% para AXIA ENERGIA NORTE S.A. - 00.357.038/0001-16 (SP),"16 - Amazonas, entre os rios Madeira e Trombetas",Presidente Figueiredo - AM
49,2026-08-07,Bariri (Álvaro de Souza Lima),000203,UHE.PH.SP.000203-8.1,SP,UHE,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,1969-12-26,"143100,00",143100,"59600,00",Não,"-22,15333300","-48,75250000",1999-12-20,2032-07-26,100% para AUREN OPERACOES S.A. - 00.194.724/0001-13 (PIE),"62 - Parana, Tiete e outros",Boracéia - SP
50,2026-08-07,Barra,000207,UHE.PH.SP.000207-0.1,SP,UHE,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,1986-01-01,"40400,00",40400,",00",Não,"-24,02318908","-47,35577271",1996-06-28,2016-06-28,100% para COMPANHIA BRASILEIRA DE ALUMINIO - 61.409.892/0001-73 (APE),81 - Ribeira do Iguape,Tapiraí - SP
51,2026-08-07,Barra Bonita,000208,UHE.PH.SP.000208-9.1,SP,UHE,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,1963-05-20,"140760,00",140760,"46700,00",Não,"-22,51944400","-48,53444400",2026-12-20,2032-06-02,100% para AUREN OPERACOES S.A. - 00.194.724/0001-13 (PIE),"62 - Parana, Tiete e outros",Barra Bonita - SP
52,2026-08-07,Barra do Braúna,000215,UHE.PH.MG.000215-1.1,MG,UHE,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,2009-12-25,"39000,00",39000,"22000,00",Não,"-21,45014185","-42,40463836",2001-03-15,2038-12-09,100% para ELERA RENOVAVEIS S A. - 02.808.298/0001-96 (PIE),58 - Paraiba do Sul,Recreio - MG
53,2026-08-07,Barralcool,000227,UTE.AI.MT.000227-5.1,MT,UTE,Operação,Biomassa,Agroindustriais,Autorização,Bagaço de Cana de Açúcar,2002-10-01,"30000,00",30000,"3500,00",Não,"-15,03297384","-57,21052538",2002-04-11,2032-04-11,100% para USINA BARRALCOOL S/A - 33.664.228/0001-35 (PIE),,Barra do Bugres - MT
54,2026-08-07,Baruíto,000233,PCH.PH.MT.000233-0.2,MT,PCH,Operação,Hídrica,Potencial hidráulico,Autorização,Potencial hidráulico,2003-04-29,"18000,00",18000,",00",Não,"-13,32033217","-57,59756342",2023-03-13,2053-03-13,100% para GLOBAL ENERGIA ELETRICA S/A - EM RECUPERACAO JUDICIAL - 36.948.016/0001-78 (PIE),17 - Tapajos,Campo Novo do Parecis - MT
55,2026-08-07,Barulho,000234,CGH.PH.MG.000234-8.2,MG,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,1940-01-31,"1320,00",1320,",00",Não,"-22,00500000","-44,40611111",,,100% para COMPANHIA DE NICKEL DO BRASIL - 33.079.047/0001-41 (REG),61 - Grande,Liberdade - MG
56,2026-08-07,Batalha,000235,CGH.PH.MG.000235-6.3,MG,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,1954-12-01,"960,00",960,",00",Não,"-17,44916667","-47,34888889",,,100% para AGROPECUARIA ROSSATO SA - 76.987.544/0001-50 (REG),60 - Paranaiba,Paracatu - MG
57,2026-08-07,Batatais,000236,UTE.AI.SP.000236-4.1,SP,UTE,Operação,Biomassa,Agroindustriais,Autorização,Bagaço de Cana de Açúcar,1990-05-01,"8400,00",8400,",00",Não,"-20,74957275","-47,56861760",2012-04-19,2042-04-19,100% para Usina Batatais S.A - Açúcar e Álcool - 54.470.679/0001-01 (APE),,Batatais - SP
58,2026-08-07,Batavo,000237,UTE.PE.MA.000237-2.1,MA,UTE,Operação,Fóssil,Petróleo,Registro,Óleo Diesel,2002-06-15,"308,80",308,",00",Não,"-8,52174068","-46,74677434",,,100% para EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A - 06.272.793/0001-84 (REG),,Balsas - MA
59,2026-08-07,Viçosa (Antiga Bicame),000261,PCH.PH.ES.000261-5.1,ES,PCH,Operação,Hídrica,Potencial hidráulico,Autorização,Potencial hidráulico,2001-05-20,"4500,00",4500,"2520,00",Não,"-20,39995290","-41,26649469",1999-05-19,2030-10-27,100% para SANTA MARIA CGH 3 LTDA - 57.222.600/0001-11 (PIE),57 - Litoraneas do Espirito Santo,Conceição do Castelo - ES
60,2026-08-07,Bituva,000264,CGH.PH.SC.000264-0.1,SC,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,1979-08-17,"552,00",552,",00",Não,"-26,38638889","-49,66916667",,,100% para C.V.G.CIA VOLTA GRANDE DE PAPEL - 85.906.329/0001-79 (REG),"65 - Parana, Iguacu",Rio Negrinho - SC
61,2026-08-07,Boa Esperança (Antiga Castelo Branco),000267,UHE.PH.PI.000267-4.1,PI,UHE,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,1970-10-02,"237300,00",237300,"135900,00",Não,"-6,75349577","-43,56267317",2022-06-17,2052-06-17,100% para AXIA ENERGIA NORDESTE S.A. - 33.541.368/0001-16 (PIE),34 - Parnaiba,"Guadalupe - PI, São João dos Patos - MA"
62,2026-08-07,Boa Vista II,000273,PCH.PH.PR.000273-9.1,PR,PCH,Operação,Hídrica,Potencial hidráulico,Autorização,Potencial hidráulico,2002-10-15,"24000,00",24000,"6660,00",Não,"-24,94111111","-51,38416667",2026-12-04,2044-09-21,100% para PCH BV II - GERAÇÃO DE ENERGIA LTDA - 22.091.543/0001-02 (PIE),"64 - Parana, Paranapanema, Amambai e outros",Turvo - PR
63,2026-08-07,Bom Jesus do Galho,000284,CGH.PH.MG.000284-4.1,MG,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,1931-01-01,"358,40",358,"130,00",Não,"-19,82169389","-42,31867944",,,"50% para AMBAR HIDROENERGIA LTDA - 19.390.334/0001-47 (REG), 50% para CONSORCIO JBS HIDROENERGIA - 56.108.743/0001-34 (REG)",56 - Doce,Bom Jesus do Galho - MG
64,2026-08-07,Bom Princípio,000287,UTE.PE.RO.000287-9.1,RO,UTE,Operação,Fóssil,Petróleo,Registro,Óleo Diesel,1900-01-03,"224,00",224,",00",Não,"-12,43831043","-64,22856358",,,100% para ENERGISA RONDONIA - DISTRIBUIDORA DE ENERGIA S.A - 05.914.650/0001-66 (REG),,Costa Marques - RO
65,2026-08-07,Bonfante,000291,PCH.PH.MG.000291-7.1,MG,PCH,Operação,Hídrica,Potencial hidráulico,Autorização,Potencial hidráulico,2008-08-02,"19000,00",19000,"13480,00",Não,"-22,00888889","-43,26527778",2008-08-02,2042-03-06,100% para BONFANTE ENERGETICA S/A - 06.982.746/0001-24 (PIE),58 - Paraiba do Sul,"Comendador Levy Gasparian - RJ, Simão Pereira - MG"
66,2026-08-07,José Togni,000298,CGH.PH.MG.000298-4.1,MG,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,1988-10-01,"720,00",720,"410,00",Não,"-21,78193056","-46,63155278",,,100% para Dme Energética S.A. - DMEE - 03.966.583/0001-06 (REG),61 - Grande,Poços de Caldas - MG
67,2026-08-07,Bracinho,000302,UHE.PH.SC.000302-6.2,SC,UHE,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,1931-01-01,"15000,00",15000,"8800,00",Não,"-26,33001439","-49,09536556",2016-11-08,2053-11-09,100% para CELESC Geração S.A. - 08.336.804/0001-78 (SP),"82 - Cachoeira, Sao Joao e outros",Schroeder - SC
68,2026-08-07,Brecha,000315,UHE.PH.MG.000315-8.1,MG,UHE,Operação,Hídrica,Potencial hidráulico,Concessão,Potencial hidráulico,1958-01-01,"17000,00",17000,"9010,00",Não,"-20,54528268","-42,95918358",1978-04-19,2008-04-19,100% para NOVELIS DO BRASIL LTDA. - 60.561.800/0001-03 (APE),56 - Doce,Guaraciaba - MG
69,2026-08-07,Brito,000318,CGH.PH.MG.000318-2.4,MG,CGH,Operação,Hídrica,Potencial hidráulico,Registro,Potencial hidráulico,1924-01-01,"2900,00",2900,",00",Não,"-20,45400800","-43,00609274",,,100% para BRITO ENERGETICA LTDA. - 20.292.993/0001-20 (REG),56 - Doce,Ponte Nova - MG
